,core,peri,log2fc,pvalue
LMF1,0.04043411031753,0,0.04043411031753,0.00822173259218
AC004974.1,0.055643032685583,0.015173252454389,0.040469780231194,0.059802918695953
ERCC8,0.04629527066198,0.005820064160204,0.040475206501775,0.019778737736867
ZMYM5,0.092861039809079,0.052375463098736,0.040485576710343,0.17312728759128
RAI14,0.040491217514401,0,0.040491217514401,0.008196693075496
AC104695.4,0.075265181378213,0.034770323654848,0.040494857723364,0.130403136447234
SLC41A2,0.04050155104636,0,0.04050155104636,0.008228044043282
DSTYK,0.057613391672224,0.017110209364257,0.040503182307967,0.050676414487718
TIMM23,0.070106855947994,0.029596630871975,0.040510225076019,0.094333194493149
IL4I1,0.058694856266471,0.018164078428961,0.04053077783751,0.057283232371534
PMF1,0.179652962525087,0.139114595952781,0.040538366572306,0.370004477396095
GATB,0.040548229743638,0,0.040548229743638,0.008167019677587
RPP30,0.058068985173561,0.017509721006212,0.040559264167349,0.052670380146253
TP53INP1,0.105310550630131,0.064750738811359,0.040559811818771,0.235854643925236
POLA2,0.040560852855772,0,0.040560852855772,0.008176321846894
ZNF830,0.046629385606893,0.006064175640737,0.040565209966156,0.021070388262064
PTCH2,0.093454374412638,0.05287217906055,0.040582195352088,0.196292170433629
UQCC1,0.040585089864394,0,0.040585089864394,0.008182455846755
SENP3,0.045839658685579,0.005246836985578,0.0405928217,0.017168164965247
TEX30,0.047581251346856,0.006976358060343,0.040604893286513,0.037117562332003
TRIM52,0.046571288011482,0.005963313077195,0.040607974934287,0.020291488451012
SYNGAP1,0.040614478696555,0,0.040614478696555,0.00816644972181
DDX11,0.040623628331185,0,0.040623628331185,0.008158785182025
CLK3,0.188057846619265,0.147427443382146,0.040630403237118,0.379398199786485
AL031775.1,0.040638893118652,0,0.040638893118652,0.008133143243964
HDHD2,0.066953898857825,0.026302216689537,0.040651682168289,0.094420223071226
TP53BP1,0.08412681328037,0.043471485784095,0.040655327496275,0.144780524029543
SH3RF1,0.046719136741914,0.006049271031724,0.04066986571019,0.020732556553024
SS18L1,0.053724449921597,0.013046517007448,0.040677932914149,0.043640037906103
EBP,0.040685476999917,0,0.040685476999917,0.015138030766465
LINC01091,0.046150208380643,0.005458719806651,0.040691488573993,0.018012800686462
HSPBP1,0.040701758929388,0,0.040701758929388,0.008300706933147
DCAF17,0.051554022926354,0.010847132157151,0.040706890769204,0.030390800525078
AC087286.4,0.040712148373899,0,0.040712148373899,0.008150729245453
ZNF717,0.052766904225213,0.012048936775196,0.040717967450017,0.037011976632611
MSH2,0.040722767654436,0,0.040722767654436,0.008293466839007
UACA,0.065413460994069,0.024682811135068,0.040730649859001,0.080056036182437
PDCD11,0.045813958949456,0.00507744937139,0.040736509578066,0.01634240370301
POT1,0.040742874218868,0,0.040742874218868,0.008184498673968
MIB1,0.070256977517782,0.029513377094532,0.04074360042325,0.104717501900269
AC011933.2,0.040745924228997,0,0.040745924228997,0.008179476778321
MPHOSPH10,0.053372250292953,0.012602717410176,0.040769532882778,0.042633206303173
AC011586.2,0.078719039063951,0.037942942499717,0.040776096564233,0.128699053848661
WAC-AS1,0.134464852593146,0.093681007575548,0.040783845017598,0.299764378161606
AIFM1,0.05278194582277,0.011990350904719,0.04079159491805,0.03651583127473
CDK11B,0.146154629969275,0.10533495942273,0.040819670546546,0.312802703057387
