,core,peri,log2fc,pvalue
IFITM2,9.50585467043026,13.9251032143226,-4.41924854389237,2.48E-103
S100A8,10.2074477059085,14.159901833233,-3.9524541273245,1.71E-77
IFITM1,3.00408113458718,6.57673012622333,-3.57264899163615,2.07E-63
S100A9,9.79204116569681,13.0474526315124,-3.25541146581554,1.43E-59
HBB,4.29390558531593,7.37993653356359,-3.08603094824767,5.87E-31
TAGLN2,2.99366527145393,5.783565519795,-2.78990024834108,7.57E-42
S100A6,4.6605580810505,7.34148019396295,-2.68092211291246,3.49E-33
S100A12,3.60555811979337,6.20610956347527,-2.6005514436819,5.24E-32
ITM2B,5.2425060330909,7.44610331415526,-2.20359728106436,1.32E-24
H3F3A,6.16646356095773,8.36046746658147,-2.19400390562374,2.97E-24
S100A11,7.88265165406221,9.93424117206272,-2.05158951800051,2.56E-22
RGS2,2.94605728817442,4.93722169093113,-1.99116440275671,3.17E-23
FPR1,2.20602892877029,4.16838480734327,-1.96235587857298,3.39E-26
S100A4,2.8117124951083,4.7363804081774,-1.9246679130691,5.34E-22
S100P,1.17795549491177,3.0651434626555,-1.88718796774372,3.12E-31
GMFG,2.78608646474032,4.61599419843005,-1.82990773368973,5.96E-21
GCA,2.25733349494927,4.08387063381208,-1.82653713886281,1.07E-22
MNDA,1.92044454590397,3.68488346898865,-1.76443892308469,3.20E-23
IL1R2,2.14560336967368,3.89949660395966,-1.75389323428598,3.04E-21
CMTM2,1.14435057782325,2.76749098633193,-1.62314040850868,5.27E-25
FCGR3B,1.30639789035937,2.91421149787118,-1.60781360751181,1.48E-23
CST7,1.72467430680091,3.28243657993902,-1.55776227313811,2.33E-19
HLA-C,4.46094332900368,5.9762814673379,-1.51533813833421,5.00E-13
SELL,0.957355490469552,2.47130632713339,-1.51395083666384,7.19E-25
ANP32A,1.76490544392706,3.18963914243411,-1.42473369850705,2.71E-17
TALDO1,2.03794108242352,3.38650319621174,-1.34856211378822,8.58E-15
BCL2A1,3.33358400982764,4.61857750822923,-1.28499349840159,1.95E-10
LSP1,2.03477090837982,3.31667133873854,-1.28190043035872,2.16E-13
HLA-B,5.73815240530958,6.99283106348822,-1.25467865817864,4.53E-09
CXCR2,0.752907944881138,2.00107768879624,-1.2481697439151,1.28E-20
SMAP2,2.82205273002321,3.98883919356616,-1.16678646354295,4.83E-10
IFITM3,3.97388008223693,5.0963746751782,-1.12249459294127,5.61E-08
CKLF,1.31194438897973,2.41172703054328,-1.09978264156355,2.21E-13
B2M,9.29957301048691,10.3799870938219,-1.08041408333497,5.32E-08
G0S2,5.64334347361407,6.71527121915634,-1.07192774554227,2.09E-06
MMP25,0.665956495794258,1.66714513662521,-1.00118864083096,6.62E-16
CDKN2D,0.736907683216832,1.73269934960686,-0.99579166639003,5.38E-15
C5AR1,2.13686387320311,3.11280537531517,-0.975941502112061,1.45E-08
MYADM,0.863650848010775,1.80278733190263,-0.939136483891855,4.49E-13
TSC22D3,2.84001692055397,3.76840059419204,-0.92838367363807,6.09E-07
RIPOR2,0.993120564824717,1.91714680856783,-0.924026243743109,2.14E-11
VNN2,0.469238345096435,1.38539187196776,-0.916153526871324,2.10E-16
TXNIP,2.63675073193155,3.54995022036106,-0.913199488429513,7.56E-07
PROK2,1.11599229263326,2.02284735811231,-0.906855065479051,2.83E-10
SRGN,7.01107053909595,7.90460182496718,-0.893531285871227,3.45E-05
SLC25A37,3.59725165753842,4.48917880583536,-0.891927148296944,5.38E-06
NCF1,1.64292107202456,2.52756664935394,-0.884645577329376,2.16E-08
BASP1,2.98082523104822,3.8507296130575,-0.869904382009283,5.19E-06
TREM1,1.39762954812924,2.264707561864,-0.867078013734768,8.57E-09
CDA,0.941116018558759,1.80679190961757,-0.865675891058815,1.31E-10
H3F3B,7.50698549902857,8.37243941004984,-0.865453911021271,4.57E-05
SERPINA1,1.8439397346717,2.7021587783199,-0.858219043648206,1.39E-07
ALPL,0.670003685570991,1.52671500667249,-0.856711321101497,1.64E-12
ABTB1,0.897887970556796,1.73197421089246,-0.834086240335668,1.36E-10
LCP1,1.89233009207839,2.71774913182925,-0.825419039750858,4.87E-07
TXN,1.73469127330587,2.53136971959633,-0.796678446290456,6.26E-07
YPEL3,2.37333502655444,3.16903712511211,-0.795702098557667,4.40E-06
LILRA5,0.502903856847216,1.29044385929215,-0.787540002444936,9.99E-13
RAC2,1.01258929652209,1.78579142192886,-0.773202125406764,8.07E-09
LST1,1.55013024614949,2.27570890444512,-0.725578658295635,1.84E-06
TUBA4A,0.54635320071577,1.27155012299644,-0.725196922280672,6.07E-11
RGL4,0.281508946671234,1.0041079850173,-0.722599038346065,2.14E-14
BEST1,0.999884244420421,1.72151951842168,-0.721635274001257,4.25E-08
EVI2B,1.49821987699087,2.21792862142089,-0.719708744430022,1.37E-06
ACTB,10.419793055348,11.1337087753207,-0.713915719972691,9.07E-05
RHOG,2.13602062490687,2.83752934728472,-0.701508722377858,3.04E-05
CARD16,0.97233239199057,1.66623219866196,-0.69389980667139,9.03E-08
TYROBP,5.81636932825329,6.50630964792052,-0.689940319667236,0.001240420516067
HLA-E,3.72103295133158,4.40408982246063,-0.683056871129048,0.000532724133714
HBA2,1.37766570078634,2.05395562241154,-0.676289921625198,8.48E-06
TNFRSF10C,0.796946875201067,1.46342677027711,-0.66647989507604,6.33E-08
MYL12A,1.96760751373966,2.62689539633372,-0.659287882594061,4.71E-05
FTH1,13.2705403067038,13.9280856153082,-0.657545308604476,5.96E-08
R3HDM4,1.20379796471145,1.86100525219791,-0.657207287486461,1.60E-06
SOD2,3.90408393479841,4.55811195333026,-0.654028018531851,0.001175205433503
SMCHD1,1.07878783708577,1.72621239555521,-0.647424558469447,1.22E-06
AQP9,0.830180497564059,1.47533878513929,-0.645158287575234,1.75E-07
GNB2,1.84295379574006,2.47278102802484,-0.629827232284782,7.45E-05
TUBA1A,2.11402259713047,2.73363687594484,-0.619614278814371,0.000222500268986
ZYX,1.94428247911904,2.56041467704561,-0.61613219792657,0.000133267618499
ARHGDIB,2.65531383672995,3.26688138325606,-0.611567546526107,0.000574561660227
LTB,0.424330709570732,1.0204823523135,-0.596151642742766,2.23E-09
CNN2,0.866308316940707,1.46065513311752,-0.594346816176811,1.75E-06
JPT1,1.43496696062346,2.0204260995271,-0.585459138903641,5.97E-05
ALOX5AP,3.64160445232922,4.21283500123213,-0.571230548902906,0.003784698507163
HBA1,1.19402883712493,1.76291841678509,-0.568889579660165,3.87E-05
MSRB1,0.730582830521314,1.2994609449325,-0.568878114411185,1.06E-06
XPO6,0.76171108043566,1.31901770751778,-0.557306627082118,2.15E-06
UBE2D1,0.710024063335599,1.2620897660769,-0.552065702741297,1.24E-06
SH3BGRL3,4.36478200311313,4.90413208337275,-0.539350080259624,0.008064123303111
ARG1,0.311882307818668,0.843094094418396,-0.531211786599728,3.17E-09
CSF3R,3.01795822910466,3.54744711054508,-0.529488881440416,0.004878493232243
ICAM3,0.506769279398826,1.03222268120611,-0.525453401807281,2.70E-07
MYL6,5.31878340950365,5.83417037082723,-0.515386961323584,0.014053847183604
STK17B,1.02652037462241,1.53840275335163,-0.511882378729217,5.61E-05
CPPED1,0.423118626267923,0.934959544062408,-0.511840917794485,9.11E-08
SPI1,3.4464770462525,3.95716567000167,-0.510688623749171,0.007567394847616
LAMTOR4,1.95927326719586,2.46381470260398,-0.504541435408123,0.001694309729587
OAZ1,5.86174827361716,6.36317340548021,-0.501425131863044,0.015408619380806
TSPO,2.75629979798553,3.25043232069338,-0.494132522707859,0.006070316750818
NAMPT,4.79469041594677,5.28017496364066,-0.485484547693889,0.022367300398981
VSIR,1.74085323112579,2.22547743929266,-0.484624208166866,0.001554173729577
MMP9,0.451929762561133,0.933122101200563,-0.48119233863943,1.29E-06
MBOAT7,0.638331777013683,1.11891593091223,-0.480584153898545,8.85E-06
FOLR3,0.38533554603343,0.863720654062523,-0.478385108029093,5.90E-07
AL137857.1,0.270324333226194,0.741155484169389,-0.470831150943195,1.02E-08
TKT,1.24633478648837,1.71686358343291,-0.470528796944542,0.000515327627249
FCER1G,4.01867985089942,4.48151352932505,-0.462833678425626,0.021107312739094
PYCARD,1.21442066116763,1.6734947808105,-0.459074119642869,0.000546611185102
JAML,0.409313142146797,0.868307061621467,-0.45899391947467,1.04E-06
CXCR1,0.32026619666793,0.77461592473031,-0.45434972806238,2.30E-07
GNG10,1.50093560595549,1.95466147814347,-0.453725872187975,0.001903390350052
PRR13,1.79292206072602,2.24538003067709,-0.452457969951076,0.003418395241706
CYSTM1,1.47117277854547,1.90790956696657,-0.436736788421105,0.003063529898037
NIBAN1,0.894707158797331,1.33135889770781,-0.436651738910479,0.000310790991803
ANXA3,0.481683503737652,0.913632780270854,-0.431949276533203,1.08E-05
LRP10,0.608600044158545,1.03862336275909,-0.430023318600542,3.81E-05
GPSM3,1.87479938007354,2.30189289657117,-0.42709351649763,0.006595125364317
RABAC1,0.778725461308379,1.20443503208536,-0.425709570776983,0.000160116321755
CLEC4E,0.401583458536483,0.824932514407245,-0.423349055870762,3.79E-06
CLEC12A,0.15439215830904,0.566932523002996,-0.412540364693955,7.08E-09
ZDHHC18,0.308563394404201,0.713613303408527,-0.405049909004326,1.59E-06
AC011446.2,0.366997694777934,0.770878058171734,-0.4038803633938,5.55E-06
WAS,0.904897275636208,1.30801774055722,-0.403120464921011,0.000643935606718
VASP,0.939919426395828,1.33622150145798,-0.396302075062154,0.00102727845561
EFHD2,1.7293443259526,2.12328767826269,-0.393943352310087,0.009708187651751
ITGB2,1.71798513944484,2.11178628559512,-0.393801146150278,0.008399871073441
NFE2,0.446200323960124,0.839552713274251,-0.393352389314128,2.13E-05
HOTAIRM1,0.171977502876673,0.565166108764226,-0.393188605887553,4.44E-08
IGSF6,0.962137674734226,1.35474903460594,-0.392611359871713,0.001106687723438
HLA-A,4.35587796561916,4.73865399892825,-0.382776033309086,0.057360272907391
CSF2RB,0.235530933602039,0.616027709339921,-0.380496775737882,8.35E-07
ADGRE5,1.1298425613547,1.51003872741854,-0.380196166063834,0.003498173956728
MX2,0.543890735949249,0.918810698954122,-0.374919963004873,0.000164558423641
CLIC1,2.41221599527075,2.78536779268304,-0.373151797412288,0.027738431478312
CD55,1.28346494352065,1.65209331583871,-0.368628372318052,0.006356404749665
CD37,1.53546994894761,1.90247937176893,-0.367009422821321,0.010078837083522
IER2,3.74843563909563,4.11421344546432,-0.365777806368686,0.06385718377284
PSMB9,0.825710796685729,1.18923167992536,-0.363520883239631,0.001563242854365
TSEN34,0.570895158057664,0.930626636513226,-0.359731478455563,0.000357841522735
SELPLG,0.835115944983485,1.18788458058402,-0.35276863560053,0.001834740945293
FRAT2,0.352009992577441,0.698204437203041,-0.3461944446256,4.47E-05
NCF2,1.01284658168766,1.35891289307959,-0.346066311391933,0.00502852023149
ROPN1L,0.035394875714962,0.37638551181006,-0.340990636095098,3.07E-10
QPCT,0.208454029634242,0.547898729400679,-0.339444699766437,2.78E-06
CHMP2A,0.758387934253248,1.09595258099379,-0.337564646740538,0.002180291882874
IRF1,0.631992688842878,0.968397998962205,-0.336405310119327,0.001107831208412
SMIM25,1.65093853756598,1.98104641926575,-0.330107881699772,0.029483077109486
MEGF9,0.629721811184145,0.959071852400939,-0.329350041216794,0.00138733551943
FPR2,0.488989043496018,0.816538113511061,-0.327549070015043,0.00059255214244
SIRPB1,0.267924530768937,0.594129355430415,-0.326204824661477,2.27E-05
CDC42SE1,0.836851876137835,1.15950540058627,-0.322653524448437,0.004567800791682
AC011472.2,0.222980845969525,0.540601000453561,-0.317620154484036,1.70E-05
HIST1H2AC,0.685766411153078,1.00250434361048,-0.316737932457398,0.002548467008589
SNX10,0.560504620423966,0.874293200131044,-0.313788579707078,0.001460733872113
LITAF,2.43520122760847,2.73553399374698,-0.300332766138512,0.079869301812853
CA4,0.215097252744853,0.514673357354241,-0.299576104609388,3.49E-05
PDLIM7,0.367758194785627,0.664036541060754,-0.296278346275127,0.000432270239919
PGLYRP1,0.187724649685485,0.483069807203557,-0.295345157518072,1.71E-05
ADGRG3,0.317695100278119,0.612768288676383,-0.295073188398264,0.000260306056351
RNASEK,2.80660829076208,3.10109265574375,-0.29448436498167,0.096718162809773
HCK,1.14765438876868,1.44087693963208,-0.293222550863403,0.02173977600754
IL2RG,0.147555280331926,0.439802435312272,-0.292247154980346,4.22E-06
HRH2,0.360346127831055,0.651061667938107,-0.290715540107051,0.000491464914295
CTSS,1.2589650194082,1.54736228777804,-0.28839726836984,0.027655575604235
USP10,0.538476691266546,0.824941465367341,-0.286464774100795,0.002854157755915
HEBP2,0.683918814601536,0.969278485422871,-0.285359670821335,0.006181843728556
NRBF2,0.387828917572353,0.670732856748728,-0.282903939176374,0.000900655966933
GABARAP,4.85554708192315,5.13833434288073,-0.282787260957578,0.169435612065642
TMEM154,0.280255631805154,0.562881804533336,-0.282626172728182,0.000237682688398
RAB11FIP1,0.547496655710267,0.829920985289674,-0.282424329579407,0.003827842523148
S1PR4,0.261793057970527,0.543490121960454,-0.281697063989928,0.000210803570794
ACTN1,0.753901422066047,1.03294437847523,-0.279042956409179,0.011139083449313
ZNF467,0.293606956321136,0.572062987928797,-0.278456031607661,0.000298858566123
PLP2,0.547643011811583,0.824456866992315,-0.276813855180733,0.003875530825842
NCF4,0.981719342420943,1.25772270646417,-0.27600336404323,0.022009557339889
ARPC3,2.85891864113141,3.13305429130674,-0.27413565017532,0.122714212788938
SULT1B1,0.081380527745164,0.352080294706793,-0.270699766961628,1.11E-06
UBE2B,1.43375527738986,1.70432929106785,-0.270574013677989,0.051596699360758
LY96,0.65971296649082,0.930147660126701,-0.27043469363588,0.008043904338517
PADI4,0.218690834147876,0.487408811095016,-0.26871797694714,0.000136947404496
TNFSF10,0.225991693264093,0.493843289967767,-0.267851596703674,0.000158725429375
DGAT2,0.361632074473453,0.629145000941759,-0.267512926468305,0.001399307405973
IQGAP1,1.13322816776088,1.39989245517351,-0.266664287412629,0.034758526008546
CKAP4,0.332840777208698,0.598588900101105,-0.265748122892407,0.000953029540991
MME,0.205702765823376,0.469707424325304,-0.264004658501929,0.000146506494718
LINC01506,0.21333989525328,0.476908393870121,-0.263568498616841,0.000166807299792
RNF24,0.278988312783714,0.536991187247767,-0.258002874464053,0.000630488819942
ANPEP,0.411662127077776,0.660499616566817,-0.24883748948904,0.003810391494812
PGD,1.09944277740255,1.34285000111339,-0.243407223710839,0.051161482081855
DYSF,0.494532206736274,0.734538532110403,-0.240006325374129,0.00903247353897
CR1,0.23578946495759,0.475554066106969,-0.239764601149378,0.000779677249089
PSMB3,0.913643240847481,1.15277125356785,-0.239128012720371,0.037308622471694
ECE1,0.176657348046135,0.415002886427414,-0.238345538381279,0.000255141338602
G6PD,0.322303056720091,0.555731276347692,-0.233428219627601,0.002500643542067
CAP1,1.6053493520374,1.8361706509687,-0.230821298931306,0.109184963902943
MYL12B,1.6429491987559,1.87322869611999,-0.230279497364092,0.111090965398519
MXD1,1.29517872048599,1.52327308326996,-0.22809436278397,0.087436753814033
C4orf3,1.85217296043688,2.08018370790506,-0.228010747468181,0.139855015142121
RNF149,2.36770024572238,2.59447390943928,-0.226773663716899,0.175012241877406
ERGIC1,0.59816995709165,0.822975822407798,-0.224805865316148,0.020830655777428
RAB5IF,0.852860731008168,1.07469161872082,-0.221830887712648,0.045746740820466
PTGS2,0.879068612410844,1.09956118728929,-0.220492574878441,0.056891362759528
PLBD1,0.332969122771755,0.552801309507933,-0.219832186736178,0.004558427514371
LIMD2,0.649086839438981,0.866186383545685,-0.217099544106703,0.029004572869896
CXCL1,0.472444082742739,0.688086007164692,-0.215641924421953,0.018221761575815
FLOT2,0.853192004498492,1.06762371658157,-0.214431712083077,0.057045570571967
SLPI,0.195158418080835,0.408747977446916,-0.213589559366081,0.001316588634125
PTEN,1.05229194346714,1.26500975863189,-0.212717815164752,0.079266010693241
AC005392.2,0.410927317541619,0.623594996479674,-0.212667678938055,0.01323862453167
FCAR,0.257535594894267,0.469775644174899,-0.212240049280632,0.002869690378498
GNAI2,2.18816089688272,2.39942559293852,-0.211264696055794,0.189912154888936
CIR1,0.295211422474964,0.506089863412792,-0.210878440937828,0.004377044622415
MGAM,0.295907754283694,0.506205037304819,-0.210297283021124,0.004703607597142
ATP6V0B,1.82508816666688,2.03527686853926,-0.210188701872383,0.161288951675895
PECAM1,0.353222723701812,0.562720515121416,-0.209497791419604,0.008429005485704
PHOSPHO1,0.129618624852263,0.33905457220083,-0.209435947348567,0.000105645999973
AGTRAP,0.537793498653238,0.746703659792805,-0.208910161139567,0.023361864713196
RESF1,0.624497477027534,0.832590987100958,-0.208093510073424,0.035037926784847
H2AFZ,1.00431178999753,1.20544880990501,-0.201137019907488,0.090740935620254
KCNJ15,0.297810786082639,0.498819403836314,-0.201008617753675,0.007822957576231
RAB27A,0.212203352761453,0.413018677878824,-0.200815325117371,0.002368344556199
LILRB3,0.562635258165284,0.760093403529143,-0.197458145363859,0.037993652361909
RASGRP4,0.167228764576717,0.364123084961501,-0.196894320384784,0.001234236719594
SLCO3A1,0.09419758429438,0.290194425529282,-0.195996841234902,0.000166276655677
RARA,0.404579779816299,0.600483166668939,-0.19590338685264,0.018152703687891
CDC42EP3,0.422962431651267,0.618539280899715,-0.195576849248448,0.020605746205099
RBP7,0.32804913305356,0.522580225331773,-0.194531092278212,0.011354577948819
ATP2A3,0.145975847185113,0.338099864952322,-0.192124017767209,0.001079132922655
STEAP4,0.164895288280019,0.355935748316116,-0.191040460036097,0.001988444836173
NFAM1,0.252320482863028,0.443354513496091,-0.191034030633064,0.005835502806037
CXCL8,3.47774982623585,3.66844082015725,-0.1906909939214,0.340036288010745
FKBP8,1.64877180144743,1.83872416816251,-0.189952366715081,0.175950688006079
IL17RA,0.726516352325485,0.91312587556338,-0.186609523237895,0.071064937810082
ALAS2,0.579776471061399,0.765658071190008,-0.18588160012861,0.04404654470553
MYH9,1.13308626479819,1.31777480981736,-0.184688545019173,0.136249633537171
TMEM91,0.314710828850279,0.49795486459304,-0.183244035742761,0.0147715212404
TOB1,0.538496337388916,0.717573689033335,-0.179077351644419,0.052768160708902
MYO1F,1.15333618561982,1.33197264917633,-0.178636463556508,0.152371467711124
LINC01001,0.198192892364199,0.376714569368883,-0.178521677004684,0.005078272468793
ATP6V0E1,1.58066632231702,1.75790921004225,-0.177242887725229,0.210950174826495
PPT1,0.647687063511912,0.823273468008878,-0.175586404496965,0.070435286363715
APMAP,0.438763589963912,0.613989543279989,-0.175225953316077,0.032360972027982
SERINC3,0.305833549351075,0.48060622730498,-0.174772677953905,0.015726422937983
SLC9A3R1,0.285732008346264,0.45961910196141,-0.173887093615147,0.016183478906473
TMEM71,0.136273892411709,0.310157661287637,-0.173883768875928,0.001908530521999
VPS37B,0.399441169859578,0.569154691944203,-0.169713522084625,0.036005634852217
FCN1,0.153915618866539,0.322784306681542,-0.168868687815003,0.003282043936674
PRKAR1A,0.616536762432787,0.785045833971836,-0.168509071539049,0.077783409565026
ISG20,0.429824821493792,0.597407398813671,-0.167582577319879,0.047246895388399
NOP10,1.46675392894561,1.63258200641939,-0.165828077473779,0.228819146602045
ADIPOR1,1.17439662357826,1.34004473300485,-0.165648109426598,0.168052655758136
ITPK1,0.236174641448074,0.400436339075856,-0.164261697627782,0.01278048391127
NBEAL2,0.372213375575479,0.534166661927198,-0.161953286351719,0.041838172211446
LMNB1,0.337408496240837,0.498914283459667,-0.161505787218831,0.035868094794459
SHISA5,0.453778003995698,0.613940552507102,-0.160162548511404,0.057727045101388
ANKRD13A,0.291435457347048,0.45100131589559,-0.159565858548542,0.024494217169236
ATP5F1E,3.16805257958896,3.3236053973364,-0.155552817747437,0.390684151525406
ORM1,0.124261794501856,0.279594559343698,-0.155332764841842,0.003776854298001
EIF4E3,0.160211696949735,0.315497103171808,-0.155285406222073,0.007159980916596
RASSF3,0.190932381083305,0.345878540371727,-0.154946159288422,0.011354830476934
CRISPLD2,0.149567620054539,0.304214676594269,-0.15464705653973,0.006540366547453
FFAR2,0.142265842031953,0.296492226380165,-0.154226384348211,0.005774560669323
GRK6,0.210337121292832,0.364402031321943,-0.154064910029111,0.013894041057225
KRT23,0.155355113788872,0.308325360133323,-0.152970246344451,0.008301910279386
TMX4,0.588854475974009,0.740124846852493,-0.151270370878484,0.109320394802866
TNFAIP6,0.236714441670093,0.387529220866473,-0.15081477919638,0.023682436231268
FGD3,0.358938497675768,0.508119274259049,-0.149180776583281,0.053523815146486
FAM200B,0.292734245796048,0.441611558227793,-0.148877312431744,0.036729038483195
TLR2,0.704786263103556,0.853364248690562,-0.148577985587006,0.135808617584453
MYD88,0.318068094782016,0.465528544993722,-0.147460450211706,0.042409643386716
OAZ2,0.353436365735649,0.500444352807975,-0.147007987072326,0.053568650954348
CFP,0.16848229581162,0.314555742959818,-0.146073447148199,0.012205813811139
IMPA2,0.197291168550618,0.341299109823176,-0.144007941272558,0.018856285086295
TENT5C,0.291788730591136,0.435050560913442,-0.143261830322305,0.026518097017727
SRPK1,0.372854533779005,0.513895972093566,-0.141041438314561,0.071447378361688
IL18R1,0.265869287279433,0.406297813817236,-0.140428526537803,0.041964633258788
CCPG1,0.366241755197562,0.503928215171907,-0.137686459974345,0.070977981301073
RGS14,0.142571134795923,0.280054599052395,-0.137483464256471,0.012086841862855
LPAR2,0.100890025581027,0.237896716646917,-0.13700669106589,0.005388740459524
SLC22A4,0.050397752570818,0.18670356730498,-0.136305814734162,0.00080337857962
AC005280.2,0.192021284695858,0.328135877488789,-0.136114592792931,0.026335693706993
MMP25-AS1,0.132660100195648,0.265951241553295,-0.133291141357647,0.011066595400868
FGR,0.567725259117037,0.699803327079202,-0.132078067962165,0.154112517271574
CLEC2B,0.532010541402301,0.664058050810692,-0.132047509408391,0.138979157925578
KIAA0040,0.27611469002562,0.407917875792161,-0.131803185766541,0.057795911678283
STXBP2,0.851373830252932,0.983130757099138,-0.131756926846206,0.225650953025918
IRF2BPL,0.127045581905975,0.258792198685263,-0.131746616779288,0.010632473954682
CTBS,0.421713902338932,0.552552271069331,-0.130838368730399,0.100724397636479
PXN,0.496914847563303,0.627303835100308,-0.130388987537005,0.138539536451834
MARC1,0.127626023735714,0.257836434477907,-0.130210410742193,0.013523798452072
NMI,0.183490576848442,0.31240892866245,-0.128918351814007,0.027580657471837
GLT1D1,0.323872746123745,0.452231440947639,-0.128358694823894,0.085865823214525
BST1,0.083731212988842,0.211040878345279,-0.127309665356437,0.005590729833208
LRG1,0.249082321906481,0.374770023125616,-0.125687701219135,0.059445922672541
LILRA2,0.345472544254343,0.470717874619106,-0.125245330364763,0.091533157072274
STK17A,0.67057552694139,0.795613028733877,-0.125037501792486,0.2038565176282
GMCL1,0.107745149920028,0.23224767828942,-0.124502528369393,0.011049862624582
ADGRE3,0.093303138711494,0.217573171196219,-0.124270032484725,0.008527969325749
APOBEC3A,0.272664339927681,0.396122223125718,-0.123457883198037,0.074954804289698
CASP4,0.497515989976624,0.620594004756293,-0.123078014779669,0.154102989007012
HBM,0.317688142374572,0.440672673513213,-0.12298453113864,0.065933202046076
PCBP1,1.47852158165215,1.60113278050016,-0.122611198848004,0.362388157635926
JAK3,0.223130377431935,0.345478300082469,-0.122347922650533,0.048990911611767
ATP6V0C,3.11130240991509,3.2325062108025,-0.121203800887417,0.494841646654464
LILRA6,0.126600936513687,0.246026738099947,-0.11942580158626,0.018410956742597
AL133415.1,0.50833532025945,0.627715582458124,-0.119380262198673,0.169767797403151
PPP1R18,0.990295562365678,1.10916164072383,-0.118866078358152,0.303773331566427
PGGHG,0.23780819985754,0.356156364535716,-0.118348164678176,0.06717372374036
LBR,0.371594830178963,0.489662211270654,-0.118067381091691,0.122375975890882
PLPPR2,0.189566196185219,0.307580852294166,-0.118014656108947,0.044487661069185
RFLNB,0.05576565960343,0.173710280063476,-0.117944620460045,0.003629365217892
PIP4P2,0.30575059721732,0.423478396579042,-0.117727799361722,0.096174075648433
FCGR2A,1.44941385375343,1.56667615032126,-0.117262296567836,0.386999796116405
ARPC5,1.97054324547778,2.08701528459114,-0.116472039113368,0.44929964564222
C16orf54,0.147688275340468,0.263983128939805,-0.116294853599336,0.032238752470597
CREB5,0.34329973064881,0.459584377447058,-0.116284646798248,0.119109278744876
TSPAN2,0.091000601660615,0.207082877615947,-0.116082275955332,0.011436077012193
AC084871.1,0.42398725636799,0.540032819026848,-0.116045562658858,0.160480487626764
MOB3A,0.495882857847633,0.611496643117032,-0.115613785269399,0.182834435993527
MSN,0.953522892719565,1.06906649021157,-0.115543597492009,0.303573859688619
MAPK14,0.432012029381775,0.54725651415838,-0.115244484776605,0.157434959099308
IMPDH1,0.24365553756009,0.358252879963848,-0.114597342403758,0.076852747205984
CCNJL,0.065241377903972,0.179552843881436,-0.114311465977464,0.00639780390607
PTPN6,0.703211635584568,0.817083551633599,-0.113871916049031,0.248300856404168
ORAI2,0.266927937617372,0.380054584546887,-0.113126646929514,0.089380225069466
CNTNAP3C,0.034417035457992,0.147248429312628,-0.112831393854636,0.001883180972721
SERPINB1,1.67927551282173,1.79178211977275,-0.112506606951013,0.435328631501844
TCP11L2,0.144980337402857,0.256818334941454,-0.111837997538597,0.026206302053521
FAM126B,0.191447498971136,0.30315679950914,-0.111709300538004,0.057428022959351
CAMP,0.128505377142376,0.240087381476132,-0.111582004333755,0.029806260022891
F5,0.065575374161611,0.176944644082127,-0.111369269920516,0.00734826044838
AP5B1,0.301666093002232,0.41204698866525,-0.110380895663018,0.114729840816542
TLR4,0.645327288645904,0.755669433359556,-0.110342144713652,0.253615410791839
HCAR2,0.08704667758906,0.197281315855114,-0.110234638266054,0.015272780916008
GLIPR1,0.537477470880325,0.647165737325283,-0.109688266444959,0.204007433429638
AC099489.1,0.054534145504509,0.163112596033805,-0.108578450529296,0.006265858645954
CD177,0.392706304900707,0.501073996560863,-0.108367691660156,0.177667656990603
CCND3,0.377868448753311,0.48518732093382,-0.107318872180509,0.15005815141267
NFE4,0.021161126271328,0.128390541335421,-0.107229415064093,0.001001266923083
MANSC1,0.09580624735462,0.202908651021254,-0.107102403666634,0.021250592944008
AC023157.3,0.110817394128273,0.217610286308247,-0.106792892179974,0.028839858168842
TMCC3,0.201629785444734,0.308189565211789,-0.106559779767055,0.072745711886023
PCBP1-AS1,0.332358505055198,0.438883034241779,-0.106524529186581,0.136471538417317
KIF27,0.034376842754582,0.140641372082659,-0.106264529328076,0.002441454483083
TFEB,0.177020826855589,0.283209029931294,-0.106188203075705,0.058188999006717
AC007032.1,0.250638840397191,0.35620900873437,-0.105570168337179,0.107779210731386
AL034397.3,0.539905186400738,0.645354223861233,-0.105449037460495,0.244573553110414
HMGB2,0.895434887075739,1.00064884393799,-0.105213956862248,0.341846914676307
IL18RAP,0.168266791145418,0.273477265373748,-0.105210474228331,0.061351931268963
IL16,0.154403088282051,0.259517898635301,-0.10511481035325,0.047133924470988
DEDD2,0.117835612886522,0.222583987300044,-0.104748374413522,0.032921141929575
IGFLR1,0.352836213732555,0.45735568170807,-0.104519467975515,0.155264068884319
ZNF429,0.109863858966048,0.214213853062615,-0.104349994096566,0.030700936999928
TRAPPC1,0.610556086673627,0.714885721200702,-0.104329634527075,0.26259265389463
FAM8A1,0.080652578158089,0.18461619766903,-0.103963619510942,0.015691108309191
NLRP6,0.026388156485365,0.13028110513219,-0.103892948646825,0.001868968640846
ADAM8,0.414877951127819,0.518251880242063,-0.103373929114243,0.193019641818421
HPGD,0.134193407908226,0.237393525189726,-0.1032001172815,0.044565914314312
APOBR,0.255182258097183,0.357994942190939,-0.102812684093755,0.115368166103534
ARHGAP9,0.597869862344762,0.698665385851911,-0.100795523507148,0.278060593875717
SLC6A6,0.349191249549823,0.449882290859389,-0.100691041309565,0.16985313891054
